"year","seasons","districts","crop_type","production","arable_size","air_temp","atm_pressure","evapo_trans","humidity","l_stemp","ndvi","rainfall","soil_moisture","solar_rad","wind_force"
2020,"Season A","Gasabo","sweet_potatoes",8731.58,1285.87,13.01,776.83,0.13,61.13,23.8,0.18,97.94,0.4,340.07,-0.66
2021,"Season A","Gasabo","sweet_potatoes",7814.05,1191.85,16.61,793.77,0.22,64.41,22.93,0.11,121.08,0.35,338.56,-0.37
2018,"Season A","Gasabo","vegetables",8737.27,8623.65,22.76,782.25,0.06,57.01,24.37,0.19,95.2,0.31,339.72,-0.86
2018,"Season A","Gasabo","vegetables",4909.16,523.05,22.76,782.25,0.06,57.01,24.37,0.19,95.2,0.31,339.72,-0.86
2019,"Season A","Gasabo","vegetables",5050,619,21.86,784.17,0.12,65.41,23.22,0.2,106.82,0.49,340.76,-0.61
2020,"Season A","Gasabo","vegetables",6459.1,842.73,13.01,776.83,0.13,61.13,23.8,0.18,97.94,0.4,340.07,-0.66
2021,"Season A","Gasabo","vegetables",5751.68,10196.7,16.61,793.77,0.22,64.41,22.93,0.11,121.08,0.35,338.56,-0.37
2021,"Season A","Gasabo","vegetables",6117.99,764.23,16.61,793.77,0.22,64.41,22.93,0.11,121.08,0.35,338.56,-0.37
2018,"Season A","Gasabo","yams",97.15,42.51,22.76,782.25,0.06,57.01,24.37,0.19,95.2,0.31,339.72,-0.86
2019,"Season A","Gasabo","yams",736,177,21.86,784.17,0.12,65.41,23.22,0.2,106.82,0.49,340.76,-0.61
2020,"Season A","Gasabo","yams",553.82,138.29,13.01,776.83,0.13,61.13,23.8,0.18,97.94,0.4,340.07,-0.66
2021,"Season A","Gasabo","yams",610.78,147.61,16.61,793.77,0.22,64.41,22.93,0.11,121.08,0.35,338.56,-0.37
2018,"Season A","Gatsibo","banana",37758.78,8812.23,21.83,782.48,0.06,58.96,23.45,0.07,88.35,0.32,334.8,-0.75
2018,"Season A","Gatsibo","banana",5844.25,2487.55,21.83,782.48,0.06,58.96,23.45,0.07,88.35,0.32,334.8,-0.75
2018,"Season A","Gatsibo","banana",31472.66,8453.73,21.83,782.48,0.06,58.96,23.45,0.07,88.35,0.32,334.8,-0.75
2019,"Season A","Gatsibo","banana",116372,18322,21.05,784.37,0.12,67.44,22.45,0.15,112.52,0.53,336,-0.48
